Symbol,Name,IPOyear,Sector,industry,primaryExchange,secType,Currency
TFSC,1347 Capital Corp.,2014,Finance,Business Services,NASDAQ,STK,USD
TFSCR,1347 Capital Corp.,2014,Finance,Business Services,NASDAQ,STK,USD
TFSCU,1347 Capital Corp.,2014,n/a,n/a,NASDAQ,STK,USD
TFSCW,1347 Capital Corp.,2014,Finance,Business Services,NASDAQ,STK,USD
PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers,NASDAQ,STK,USD
FLWS,"1-800 FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores,NASDAQ,STK,USD
FCTY,"1st Century Bancshares, Inc",n/a,Finance,Major Banks,NASDAQ,STK,USD
FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions,NASDAQ,STK,USD
SRCE,1st Source Corporation,n/a,Finance,Major Banks,NASDAQ,STK,USD
VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing",NASDAQ,STK,USD
TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software,NASDAQ,STK,USD
DGLD,3X Inverse Gold ETN Velocityshares,n/a,Finance,Investment Bankers/Brokers/Service,NASDAQ,STK,USD
JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services,NASDAQ,STK,USD
SIXD,"6D Global Technologies, Inc.",n/a,n/a,n/a,NASDAQ,STK,USD
EGHT,8x8 Inc,n/a,Public Utilities,Telecommunications Equipment,NASDAQ,STK,USD
AVHI,"A V Homes, Inc.",n/a,Capital Goods,Homebuilding,NASDAQ,STK,USD
SHLM,"A. Schulman, Inc.",1972,Basic Industries,Major Chemicals,NASDAQ,STK,USD
AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components,NASDAQ,STK,USD
ABAX,"ABAXIS, Inc.",1992,Capital Goods,Industrial Machinery/Components,NASDAQ,STK,USD
ABY,Abengoa Yield plc,2014,Public Utilities,Electric Utilities: Central,NASDAQ,STK,USD
ABGB,"Abengoa, S.A.",2013,Consumer Services,Military/Government/Technical,NASDAQ,STK,USD
ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments,NASDAQ,STK,USD
AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production,NASDAQ,STK,USD
ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies,NASDAQ,STK,USD
ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities,NASDAQ,STK,USD
ACAD,ACADIA Pharmaceuticals Inc.,1985,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ACST,"Acasti Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
AXDX,"Accelerate Diagnostics, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ,STK,USD
XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,STK,USD
ANCX,Access National Corporation,n/a,Finance,Savings Institutions,NASDAQ,STK,USD
ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments,NASDAQ,STK,USD
ACRX,"AcelRx Pharmaceuticals, Inc.",2011,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ACET,Aceto Corporation,n/a,Consumer Durables,Specialty Chemicals,NASDAQ,STK,USD
AKAO,"Achaogen, Inc.",2014,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ACHN,"Achillion Pharmaceuticals, Inc.",2006,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ACIW,"ACI Worldwide, Inc.",n/a,Technology,Computer Software: Prepackaged Software,NASDAQ,STK,USD
ACNB,ACNB Corporation,n/a,Finance,Major Banks,NASDAQ,STK,USD
ACOR,"Acorda Therapeutics, Inc.",2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,STK,USD
ACFN,"Acorn Energy, Inc.",n/a,Consumer Services,Military/Government/Technical,NASDAQ,STK,USD
ACTS,"Actions Semiconductor Co., Ltd.",2005,Technology,Semiconductors,NASDAQ,STK,USD
ACPW,"Active Power, Inc.",2000,Public Utilities,Electric Utilities: Central,NASDAQ,STK,USD
ATVI,"Activision Blizzard, Inc",n/a,Technology,Computer Software: Prepackaged Software,NASDAQ,STK,USD
ACTA,Actua Corporation,n/a,Technology,EDP Services,NASDAQ,STK,USD
BIRT,Actuate Corporation,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ,STK,USD
ACUR,"Acura Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ACXM,Acxiom Corporation,n/a,Technology,EDP Services,NASDAQ,STK,USD
ADMS,"Adamas Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ADMP,Adamis Pharmaceuticals Corporation,n/a,Health Care,Major Pharmaceuticals,NASDAQ,STK,USD
ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services,NASDAQ,STK,USD
AEY,"ADDvantage Technologies Group, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services,NASDAQ,STK,USD
